Area Code,Date,Margin,Marketing,Product Type,Product Id,Product,Profit,Sales,State,Total Expenses
978,1/1/2017,513,141,NonVeg Burger,7,Mutton Char Grilled,300,1023,Massachusetts,213
781,1/1/2017,189,171,NonVeg Burger,5,Chicken Fillet,-69,378,Massachusetts,258
413,1/1/2017,1266,69,Veg Burger,2,Veggie Delight,1101,1482,Massachusetts,165
339,1/1/2017,216,66,Veg Pizza,9,Veggie Loaded,51,390,Massachusetts,165
603,1/1/2017,81,15,NonVeg Pizza,11,Spicy Chicken,30,135,New Hampshire,51
603,1/1/2017,78,12,NonVeg Pizza,13,Pepperoni,33,129,New Hampshire,45
603,1/1/2017,108,33,NonVeg Burger,7,Mutton Char Grilled,-24,195,New Hampshire,132
603,1/1/2017,159,102,NonVeg Burger,5,Chicken Fillet,-30,270,New Hampshire,189
603,1/1/2017,165,36,Veg Burger,1,Crispy Veg,60,279,New Hampshire,105
603,1/1/2017,216,45,Veg Burger,2,Veggie Delight,75,360,New Hampshire,141
603,1/1/2017,126,36,Veg Pizza,9,Veggie Loaded,-12,228,New Hampshire,138
347,1/1/2017,417,78,NonVeg Pizza,11,Spicy Chicken,303,702,New York,114
646,1/1/2017,390,72,NonVeg Pizza,12,Chicken Loaded,282,657,New York,108
347,1/1/2017,240,45,NonVeg Pizza,13,Pepperoni,162,402,New York,78
631,1/1/2017,786,189,NonVeg Burger,7,Mutton Char Grilled,525,1470,New York,261
315,1/1/2017,-132,285,NonVeg Burger,5,Chicken Fillet,-516,183,New York,384
716,1/1/2017,1221,282,Veg Burger,2,Veggie Delight,786,2034,New York,435
607,1/1/2017,714,279,Veg Pizza,9,Veggie Loaded,333,1449,New York,381
845,1/1/2017,-81,192,Veg Pizza,10,My Own Veg,-339,540,New York,258
337,1/1/2017,339,60,NonVeg Burger,5,Chicken Fillet,210,540,Louisiana,129
337,1/1/2017,267,57,NonVeg Burger,6,Chicken Char Grilled,144,450,Louisiana,123
337,1/1/2017,189,48,Veg Pizza,8,Margherita,105,336,Louisiana,84
504,1/1/2017,315,96,Veg Pizza,9,Veggie Loaded,120,570,Louisiana,195
504,1/1/2017,315,204,NonVeg Burger,4,Crispy Chicken,24,540,Louisiana,291
225,1/1/2017,153,27,Veg Burger,2,Veggie Delight,90,255,Louisiana,63
985,1/1/2017,144,27,Veg Burger,3,Veg Char Grilled,84,243,Louisiana,60
505,1/1/2017,159,102,NonVeg Burger,5,Chicken Fillet,-30,270,New Mexico,189
505,1/1/2017,141,33,NonVeg Burger,6,Chicken Char Grilled,27,246,New Mexico,114
505,1/1/2017,81,15,Veg Pizza,8,Margherita,33,135,New Mexico,48
505,1/1/2017,102,24,Veg Pizza,9,Veggie Loaded,12,186,New Mexico,90
505,1/1/2017,108,33,NonVeg Burger,4,Crispy Chicken,-24,195,New Mexico,132
505,1/1/2017,216,45,Veg Burger,2,Veggie Delight,78,360,New Mexico,138
505,1/1/2017,33,81,Veg Burger,3,Veg Char Grilled,-117,297,New Mexico,150
405,1/1/2017,144,24,NonVeg Burger,5,Chicken Fillet,84,240,Oklahoma,60
405,1/1/2017,378,81,NonVeg Burger,6,Chicken Char Grilled,201,630,Oklahoma,177
918,1/1/2017,198,60,Veg Pizza,8,Margherita,39,360,Oklahoma,159
580,1/1/2017,333,216,Veg Pizza,9,Veggie Loaded,30,570,Oklahoma,303
405,1/1/2017,348,78,NonVeg Burger,4,Crispy Chicken,198,600,Oklahoma,150
580,1/1/2017,168,42,Veg Burger,2,Veggie Delight,87,300,Oklahoma,81
580,1/1/2017,144,24,Veg Burger,3,Veg Char Grilled,84,240,Oklahoma,60
325,1/1/2017,390,72,NonVeg Burger,5,Chicken Fillet,285,657,Texas,105
956,1/1/2017,240,45,NonVeg Burger,6,Chicken Char Grilled,162,402,Texas,78
281,1/1/2017,240,57,Veg Pizza,8,Margherita,99,420,Texas,141
254,1/1/2017,249,54,Veg Pizza,9,Veggie Loaded,126,420,Texas,123
830,1/1/2017,324,69,NonVeg Burger,4,Crispy Chicken,159,540,Texas,165
409,1/1/2017,735,192,Veg Burger,2,Veggie Delight,477,1356,Texas,258
325,1/1/2017,321,81,Veg Burger,3,Veg Char Grilled,204,570,Texas,117
435,1/1/2017,204,36,NonVeg Burger,4,Crispy Chicken,132,342,Utah,72
435,1/1/2017,189,48,NonVeg Burger,5,Chicken Fillet,102,336,Utah,87
435,1/1/2017,219,42,NonVeg Burger,6,Chicken Char Grilled,141,369,Utah,78
801,1/1/2017,165,36,Veg Pizza,8,Margherita,63,279,Utah,102
435,1/1/2017,216,45,Veg Pizza,9,Veggie Loaded,75,360,Utah,141
435,1/1/2017,33,81,Veg Pizza,10,My Own Veg,-120,297,Utah,153
435,1/1/2017,159,102,NonVeg Pizza,11,Spicy Chicken,-30,270,Utah,189
435,1/1/2017,141,33,NonVeg Pizza,12,Chicken Loaded,27,246,Utah,114
435,1/1/2017,108,33,NonVeg Pizza,13,Pepperoni,-27,195,Utah,135
801,1/1/2017,276,72,Veg Burger,1,Crispy Veg,141,510,Utah,135
435,1/1/2017,225,54,Veg Burger,2,Veggie Delight,90,390,Utah,135
801,1/1/2017,315,96,Veg Burger,3,Veg Char Grilled,117,570,Utah,198
661,1/1/2017,684,189,NonVeg Burger,4,Crispy Chicken,420,1368,California,264
818,1/1/2017,435,285,NonVeg Burger,5,Chicken Fillet,51,750,California,384
213,1/1/2017,936,231,NonVeg Burger,6,Chicken Char Grilled,609,1638,California,327
510,1/1/2017,417,78,Veg Pizza,8,Margherita,306,702,California,111
310,1/1/2017,735,192,Veg Pizza,9,Veggie Loaded,480,1356,California,255
707,1/1/2017,321,81,Veg Pizza,10,My Own Veg,201,570,California,120
619,1/1/2017,390,72,NonVeg Pizza,11,Spicy Chicken,282,657,California,108
650,1/1/2017,240,45,NonVeg Pizza,12,Chicken Loaded,162,402,California,78
760,1/1/2017,324,69,NonVeg Pizza,13,Pepperoni,162,540,California,162
916,1/1/2017,150,90,Veg Burger,1,Crispy Veg,-6,435,California,156
559,1/1/2017,1221,282,Veg Burger,2,Veggie Delight,786,2034,California,435
650,1/1/2017,-78,141,Veg Burger,3,Veg Char Grilled,-351,354,California,273
775,1/1/2017,78,12,NonVeg Burger,4,Crispy Chicken,33,129,Nevada,45
702,1/1/2017,81,15,NonVeg Burger,5,Chicken Fillet,30,135,Nevada,51
775,1/1/2017,78,12,NonVeg Burger,6,Chicken Char Grilled,33,129,Nevada,45
775,1/1/2017,102,24,Veg Burger,3,Veg Char Grilled,12,186,Nevada,90
702,1/1/2017,435,285,Veg Pizza,8,Margherita,48,750,Nevada,387
775,1/1/2017,603,141,Veg Pizza,9,Veggie Loaded,333,1035,Nevada,270
702,1/1/2017,417,90,Veg Pizza,10,My Own Veg,258,702,Nevada,159
775,1/1/2017,936,231,NonVeg Pizza,11,Spicy Chicken,609,1638,Nevada,327
775,1/1/2017,684,189,NonVeg Pizza,12,Chicken Loaded,423,1368,Nevada,261
702,1/1/2017,-735,279,NonVeg Pizza,13,Pepperoni,-1062,51,Nevada,378
702,1/1/2017,126,36,Veg Burger,2,Veggie Delight,-9,228,Nevada,135
503,1/1/2017,216,66,NonVeg Burger,4,Crispy Chicken,48,390,Oregon,168
503,1/1/2017,240,57,NonVeg Burger,5,Chicken Fillet,99,420,Oregon,141
971,1/1/2017,513,141,NonVeg Burger,6,Chicken Char Grilled,297,1023,Oregon,216
971,1/1/2017,249,54,Veg Burger,3,Veg Char Grilled,126,420,Oregon,123
971,1/1/2017,162,30,Veg Pizza,8,Margherita,99,270,Oregon,63
503,1/1/2017,168,42,Veg Pizza,9,Veggie Loaded,87,300,Oregon,81
971,1/1/2017,144,24,NonVeg Pizza,11,Spicy Chicken,84,240,Oregon,60
503,1/1/2017,378,81,NonVeg Pizza,12,Chicken Loaded,204,630,Oregon,174
541,1/1/2017,348,78,NonVeg Pizza,13,Pepperoni,201,600,Oregon,147
541,1/1/2017,261,171,Veg Burger,1,Crispy Veg,3,450,Oregon,258
503,1/1/2017,279,66,Veg Burger,2,Veggie Delight,84,480,Oregon,195
425,1/1/2017,186,45,NonVeg Burger,4,Crispy Chicken,105,330,Washington,81
253,1/1/2017,198,60,NonVeg Burger,5,Chicken Fillet,39,360,Washington,159
206,1/1/2017,243,63,NonVeg Burger,6,Chicken Char Grilled,117,450,Washington,126
509,1/1/2017,333,216,Veg Burger,3,Veg Char Grilled,27,570,Washington,306
206,1/1/2017,558,120,Veg Pizza,8,Margherita,345,930,Washington,213
360,1/1/2017,153,27,Veg Pizza,9,Veggie Loaded,90,255,Washington,63
360,1/1/2017,339,60,NonVeg Pizza,11,Spicy Chicken,210,540,Washington,129
253,1/1/2017,267,57,NonVeg Pizza,12,Chicken Loaded,144,450,Washington,123
360,1/1/2017,315,204,NonVeg Pizza,13,Pepperoni,24,540,Washington,291
206,1/1/2017,231,48,Veg Burger,2,Veggie Delight,114,390,Washington,117
303,1/2/2017,432,81,Veg Burger,1,Crispy Veg,315,729,Colorado,117
720,1/2/2017,321,81,Veg Burger,2,Veggie Delight,204,570,Colorado,117
719,1/2/2017,411,78,Veg Burger,3,Veg Char Grilled,297,696,Colorado,114
970,1/2/2017,168,42,NonVeg Pizza,13,Pepperoni,90,300,Colorado,78
970,1/2/2017,336,63,NonVeg Burger,5,Chicken Fillet,240,567,Colorado,96
303,1/2/2017,342,72,NonVeg Burger,6,Chicken Char Grilled,177,567,Colorado,165
970,1/2/2017,510,141,Veg Pizza,8,Margherita,297,1020,Colorado,213
970,1/2/2017,225,147,Veg Pizza,9,Veggie Loaded,-9,387,Colorado,234
303,1/2/2017,240,57,Veg Pizza,10,My Own Veg,99,420,Colorado,141
719,1/2/2017,219,66,NonVeg Pizza,11,Spicy Chicken,54,396,Colorado,165
720,1/2/2017,222,57,NonVeg Pizza,12,Chicken Loaded,102,408,Colorado,120
312,1/2/2017,618,144,Veg Burger,2,Veggie Delight,345,1062,Illinois,273
847,1/2/2017,450,99,Veg Burger,3,Veg Char Grilled,285,762,Illinois,165
708,1/2/2017,933,231,NonVeg Burger,5,Chicken Fillet,603,1635,Illinois,330
312,1/2/2017,687,189,NonVeg Burger,6,Chicken Char Grilled,426,1371,Illinois,261
815,1/2/2017,432,81,Veg Pizza,8,Margherita,315,729,Illinois,117
773,1/2/2017,321,81,Veg Pizza,9,Veggie Loaded,204,570,Illinois,117
847,1/2/2017,411,78,Veg Pizza,10,My Own Veg,297,696,Illinois,114
309,1/2/2017,336,63,NonVeg Pizza,11,Spicy Chicken,237,567,Illinois,99
630,1/2/2017,342,72,NonVeg Pizza,12,Chicken Loaded,177,567,Illinois,165
712,1/2/2017,81,15,Veg Burger,1,Crispy Veg,30,135,Iowa,51
319,1/2/2017,105,24,Veg Burger,2,Veggie Delight,18,189,Iowa,87
712,1/2/2017,93,21,Veg Burger,3,Veg Char Grilled,36,162,Iowa,57
319,1/2/2017,84,15,NonVeg Burger,5,Chicken Fillet,33,141,Iowa,51
712,1/2/2017,129,0,NonVeg Burger,6,Chicken Char Grilled,96,129,Iowa,33
563,1/2/2017,933,231,Veg Pizza,8,Margherita,603,1635,Iowa,330
563,1/2/2017,450,99,Veg Pizza,9,Veggie Loaded,285,762,Iowa,165
563,1/2/2017,687,189,NonVeg Pizza,11,Spicy Chicken,423,1371,Iowa,264
515,1/2/2017,882,273,NonVeg Pizza,12,Chicken Loaded,507,1602,Iowa,375
314,1/2/2017,321,96,Veg Burger,2,Veggie Delight,126,579,Missouri,195
816,1/2/2017,270,69,Veg Burger,3,Veg Char Grilled,138,495,Missouri,132
573,1/2/2017,123,36,NonVeg Pizza,13,Pepperoni,-12,222,Missouri,135
573,1/2/2017,219,42,NonVeg Burger,5,Chicken Fillet,144,369,Missouri,75
573,1/2/2017,183,33,NonVeg Burger,6,Chicken Char Grilled,114,309,Missouri,69
636,1/2/2017,183,117,Veg Pizza,8,Margherita,-24,312,Missouri,207
417,1/2/2017,54,78,Veg Pizza,9,Veggie Loaded,-96,306,Missouri,150
816,1/2/2017,141,33,NonVeg Pizza,11,Spicy Chicken,27,246,Missouri,114
314,1/2/2017,114,33,NonVeg Pizza,12,Chicken Loaded,-21,204,Missouri,135
937,1/2/2017,240,57,Veg Burger,1,Crispy Veg,99,420,Ohio,141
513,1/2/2017,228,48,Veg Burger,2,Veggie Delight,114,384,Ohio,114
614,1/2/2017,225,147,Veg Burger,3,Veg Char Grilled,-9,387,Ohio,234
614,1/2/2017,360,78,NonVeg Pizza,11,Spicy Chicken,186,600,Ohio,174
513,1/2/2017,360,78,NonVeg Pizza,12,Chicken Loaded,213,618,Ohio,147
614,1/2/2017,219,66,NonVeg Burger,6,Chicken Char Grilled,54,396,Ohio,165
234,1/2/2017,510,141,NonVeg Burger,5,Chicken Fillet,294,1020,Ohio,216
330,1/2/2017,102,18,Veg Pizza,8,Margherita,51,168,Ohio,51
740,1/2/2017,144,24,Veg Pizza,9,Veggie Loaded,84,240,Ohio,60
262,1/2/2017,195,60,Veg Burger,1,Crispy Veg,36,354,Wisconsin,159
920,1/2/2017,384,249,Veg Burger,2,Veggie Delight,45,660,Wisconsin,339
414,1/2/2017,309,75,Veg Burger,3,Veg Char Grilled,150,540,Wisconsin,159
920,1/2/2017,243,51,NonVeg Pizza,11,Spicy Chicken,123,411,Wisconsin,120
414,1/2/2017,270,174,NonVeg Pizza,12,Chicken Loaded,9,465,Wisconsin,261
715,1/2/2017,186,45,NonVeg Burger,6,Chicken Char Grilled,105,330,Wisconsin,81
414,1/2/2017,252,63,NonVeg Burger,5,Chicken Fillet,126,462,Wisconsin,126
715,1/2/2017,327,60,Veg Pizza,8,Margherita,198,522,Wisconsin,129
262,1/2/2017,204,39,Veg Pizza,9,Veggie Loaded,129,345,Wisconsin,75
475,1/2/2017,219,42,NonVeg Pizza,11,Spicy Chicken,144,369,Connecticut,75
475,1/2/2017,117,21,NonVeg Pizza,13,Pepperoni,63,198,Connecticut,54
203,1/2/2017,225,54,NonVeg Burger,6,Chicken Char Grilled,87,390,Connecticut,138
860,1/2/2017,270,174,NonVeg Burger,5,Chicken Fillet,9,465,Connecticut,261
959,1/2/2017,585,126,Veg Burger,2,Veggie Delight,363,975,Connecticut,222
475,1/2/2017,321,96,Veg Pizza,9,Veggie Loaded,123,579,Connecticut,198
860,1/2/2017,270,69,Veg Pizza,10,My Own Veg,138,495,Connecticut,132
786,1/2/2017,144,24,NonVeg Pizza,11,Spicy Chicken,84,240,Florida,60
727,1/2/2017,204,39,NonVeg Pizza,13,Pepperoni,132,345,Florida,72
407,1/2/2017,309,75,NonVeg Burger,6,Chicken Char Grilled,153,540,Florida,156
305,1/2/2017,384,249,NonVeg Burger,5,Chicken Fillet,48,660,Florida,336
305,1/2/2017,360,78,Veg Burger,3,Veg Char Grilled,213,618,Florida,147
754,1/2/2017,360,78,Veg Burger,2,Veggie Delight,189,600,Florida,171
754,1/2/2017,186,45,Veg Pizza,8,Margherita,102,330,Florida,84
727,1/2/2017,195,60,Veg Pizza,9,Veggie Loaded,36,354,Florida,159
850,1/2/2017,252,63,Veg Pizza,10,My Own Veg,126,462,Florida,126
978,1/2/2017,144,24,NonVeg Pizza,11,Spicy Chicken,84,240,Massachusetts,60
978,1/2/2017,102,18,NonVeg Pizza,13,Pepperoni,51,168,Massachusetts,51
508,1/2/2017,510,141,NonVeg Burger,7,Mutton Char Grilled,297,1020,Massachusetts,213
508,1/2/2017,222,147,NonVeg Burger,5,Chicken Fillet,-12,384,Massachusetts,234
774,1/2/2017,1185,72,Veg Burger,2,Veggie Delight,1020,1410,Massachusetts,165
781,1/2/2017,219,66,Veg Pizza,9,Veggie Loaded,54,396,Massachusetts,165
603,1/2/2017,81,15,NonVeg Pizza,11,Spicy Chicken,33,135,New Hampshire,48
603,1/2/2017,129,0,NonVeg Pizza,13,Pepperoni,96,129,New Hampshire,33
603,1/2/2017,114,33,NonVeg Burger,7,Mutton Char Grilled,-18,204,New Hampshire,132
603,1/2/2017,183,117,NonVeg Burger,5,Chicken Fillet,-21,312,New Hampshire,204
603,1/2/2017,180,39,Veg Burger,1,Crispy Veg,75,303,New Hampshire,105
603,1/2/2017,207,42,Veg Burger,2,Veggie Delight,69,342,New Hampshire,138
603,1/2/2017,123,36,Veg Pizza,9,Veggie Loaded,-12,222,New Hampshire,135
631,1/2/2017,411,78,NonVeg Pizza,11,Spicy Chicken,300,696,New York,111
518,1/2/2017,432,81,NonVeg Pizza,12,Chicken Loaded,315,729,New York,117
845,1/2/2017,336,63,NonVeg Pizza,13,Pepperoni,237,567,New York,99
585,1/2/2017,1056,189,NonVeg Burger,7,Mutton Char Grilled,792,1740,New York,264
585,1/2/2017,-180,330,NonVeg Burger,5,Chicken Fillet,-609,183,New York,429
917,1/2/2017,1161,270,Veg Burger,2,Veggie Delight,735,1935,New York,426
518,1/2/2017,765,273,Veg Pizza,9,Veggie Loaded,393,1485,New York,372
607,1/2/2017,-99,198,Veg Pizza,10,My Own Veg,-360,540,New York,261
504,1/2/2017,327,60,NonVeg Burger,5,Chicken Fillet,195,522,Louisiana,132
985,1/2/2017,243,51,NonVeg Burger,6,Chicken Char Grilled,123,411,Louisiana,120
337,1/2/2017,189,48,Veg Pizza,8,Margherita,105,336,Louisiana,84
225,1/2/2017,321,96,Veg Pizza,9,Veggie Loaded,126,579,Louisiana,195
318,1/2/2017,270,174,NonVeg Burger,4,Crispy Chicken,6,465,Louisiana,264
337,1/2/2017,168,30,Veg Burger,2,Veggie Delight,102,282,Louisiana,66
504,1/2/2017,204,39,Veg Burger,3,Veg Char Grilled,132,345,Louisiana,72
505,1/2/2017,183,117,NonVeg Burger,5,Chicken Fillet,-21,312,New Mexico,204
505,1/2/2017,141,33,NonVeg Burger,6,Chicken Char Grilled,24,246,New Mexico,117
505,1/2/2017,81,15,Veg Pizza,8,Margherita,30,135,New Mexico,51
505,1/2/2017,105,24,Veg Pizza,9,Veggie Loaded,15,189,New Mexico,90
505,1/2/2017,114,33,NonVeg Burger,4,Crispy Chicken,-21,204,New Mexico,135
505,1/2/2017,207,42,Veg Burger,2,Veggie Delight,72,342,New Mexico,135
505,1/2/2017,54,78,Veg Burger,3,Veg Char Grilled,-93,306,New Mexico,147
405,1/2/2017,360,78,NonVeg Burger,4,Crispy Chicken,210,618,Oklahoma,150
918,1/2/2017,102,18,NonVeg Burger,5,Chicken Fillet,51,168,Oklahoma,51
405,1/2/2017,360,78,NonVeg Burger,6,Chicken Char Grilled,189,600,Oklahoma,171
918,1/2/2017,195,60,Veg Pizza,8,Margherita,33,354,Oklahoma,162
405,1/2/2017,384,249,Veg Pizza,9,Veggie Loaded,45,660,Oklahoma,339
918,1/2/2017,168,42,Veg Burger,2,Veggie Delight,87,300,Oklahoma,81
405,1/2/2017,144,24,Veg Burger,3,Veg Char Grilled,87,240,Oklahoma,57
512,1/2/2017,342,72,NonVeg Burger,4,Crispy Chicken,174,567,Texas,168
903,1/2/2017,432,81,NonVeg Burger,5,Chicken Fillet,318,729,Texas,114
956,1/2/2017,336,63,NonVeg Burger,6,Chicken Char Grilled,240,567,Texas,96
214,1/2/2017,240,57,Veg Pizza,8,Margherita,99,420,Texas,141
432,1/2/2017,228,48,Veg Pizza,9,Veggie Loaded,114,384,Texas,114
972,1/2/2017,756,198,Veg Burger,2,Veggie Delight,492,1395,Texas,264
432,1/2/2017,321,81,Veg Burger,3,Veg Char Grilled,204,570,Texas,117
435,1/2/2017,183,33,NonVeg Burger,4,Crispy Chicken,114,309,Utah,69
801,1/2/2017,189,48,NonVeg Burger,5,Chicken Fillet,105,336,Utah,84
435,1/2/2017,219,42,NonVeg Burger,6,Chicken Char Grilled,144,369,Utah,75
435,1/2/2017,180,39,Veg Pizza,8,Margherita,72,303,Utah,108
435,1/2/2017,207,42,Veg Pizza,9,Veggie Loaded,72,342,Utah,135
435,1/2/2017,54,78,Veg Pizza,10,My Own Veg,-93,306,Utah,147
435,1/2/2017,183,117,NonVeg Pizza,11,Spicy Chicken,-21,312,Utah,204
435,1/2/2017,141,33,NonVeg Pizza,12,Chicken Loaded,27,246,Utah,114
435,1/2/2017,114,33,NonVeg Pizza,13,Pepperoni,-18,204,Utah,132
435,1/2/2017,270,69,Veg Burger,1,Crispy Veg,138,495,Utah,132
435,1/2/2017,225,54,Veg Burger,2,Veggie Delight,90,390,Utah,135
435,1/2/2017,321,96,Veg Burger,3,Veg Char Grilled,123,579,Utah,198
831,1/2/2017,687,189,NonVeg Burger,4,Crispy Chicken,426,1371,California,261
916,1/2/2017,507,330,NonVeg Burger,5,Chicken Fillet,78,870,California,429
951,1/2/2017,933,231,NonVeg Burger,6,Chicken Char Grilled,606,1635,California,327
949,1/2/2017,411,78,Veg Pizza,8,Margherita,300,696,California,111
714,1/2/2017,756,198,Veg Pizza,9,Veggie Loaded,492,1395,California,264
530,1/2/2017,321,81,Veg Pizza,10,My Own Veg,204,570,California,117
626,1/2/2017,432,81,NonVeg Pizza,11,Spicy Chicken,318,729,California,114
858,1/2/2017,336,63,NonVeg Pizza,12,Chicken Loaded,240,567,California,96
858,1/2/2017,342,72,NonVeg Pizza,13,Pepperoni,174,567,California,168
909,1/2/2017,84,99,Veg Burger,1,Crispy Veg,-81,396,California,165
415,1/2/2017,1161,270,Veg Burger,2,Veggie Delight,735,1935,California,426
